item_name,brand,size,price,calories,carbohydrates,sugar,protein,fat,url
Lactaid Lactose Free 2% Reduced Fat Milk,Lactaid,1/2 gal,,,,,,,https://www.kroger.com/p/lactaid-lactose-free-2%-reduced-fat-milk/0004138309010
Simple Truth Organic® Whole Milk,Simple Truth Organic,1/2 gal,,,,,,,https://www.kroger.com/p/simple-truth-organic®-whole-milk/0001111042850
Almond Breeze Unsweetened Vanilla Almondmilk,Almond Breeze,1/2 gal,,,,,,,https://www.kroger.com/p/almond-breeze-unsweetened-vanilla-almondmilk/0004157005618
Blue Diamond Almond Breeze Original Almond Milk,Almond Breeze,32 fl oz,,,,,,,https://www.kroger.com/p/blue-diamond-almond-breeze-original-almond-milk/0004157006827
Kroger® Lactose Free Vitamin D Milk,Kroger,1/2 gal,,,,,,,https://www.kroger.com/p/kroger®-lactose-free-vitamin-d-milk/0001111085333
Food for Life 7 Sprouted Grains Bread,Food for Life,24 oz,,,,,,,https://www.kroger.com/p/food-for-life-7-sprouted-grains-bread/0007347200101
On-Cor® Selects Breaded Chicken Parmagiana Patties with Tomato Sauce Family Size Frozen Meal,On-Cor,26 oz,,,,,,,https://www.kroger.com/p/on-cor®-selects-breaded-chicken-parmagiana-patties-with-tomato-sauce-family-size-frozen-meal/0007057504049
Red Baron Singles French Bread Supreme Pizzas 2 Count,Red Baron,2 ct / 11.6 oz,,,,,,,https://www.kroger.com/p/red-baron-singles-french-bread-supreme-pizzas-2-count/0007218063247
Simple Truth Organic® Whole Milk,Simple Truth Organic,1/2 gal,,,,,,,https://www.kroger.com/p/simple-truth-organic®-whole-milk/0001111042850
Blue Diamond Almond Breeze Original Almond Milk,Almond Breeze,32 fl oz,,,,,,,https://www.kroger.com/p/blue-diamond-almond-breeze-original-almond-milk/0004157006827
Almond Breeze Unsweetened Vanilla Almondmilk,Almond Breeze,1/2 gal,,,,,,,https://www.kroger.com/p/almond-breeze-unsweetened-vanilla-almondmilk/0004157005618
Silk Unsweet Coconutmilk,Silk,1/2 gal,,,,,,,https://www.kroger.com/p/silk-unsweet-coconutmilk/0002529300228
Nest Fresh Cage Free Large Brown Eggs,Nest Fresh,12 ct,,,,,,,https://www.kroger.com/p/nest-fresh-cage-free-large-brown-eggs/0073692100006
Fried Chicken Breast (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 ct,,,,,,,https://www.kroger.com/p/fried-chicken-breast-(not-available-before-11:00-am-daily)/0027760520000
Chicken Wing (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 each,,,,,,,https://www.kroger.com/p/chicken-wing-(not-available-before-11:00-am-daily)/0024980100000
Deli Hand-Breaded Chicken Tenders Hot (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 lb,,,,,,,https://www.kroger.com/p/deli-hand-breaded-chicken-tenders-hot-(not-available-before-11:00-am-daily)/0027662330000
Tyson® Boneless Skinless Chicken Breast Tenderloins,Tyson,2.5 lb,,,,,,,https://www.kroger.com/p/tyson®-boneless-skinless-chicken-breast-tenderloins/0002370016222
Deli Fried Chicken Leg (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 ct,,,,,,,https://www.kroger.com/p/deli-fried-chicken-leg-(not-available-before-11:00-am-daily)/0027582300000
Beef Loin Boneless New York Steak,,1 lb,,,,,,,https://www.kroger.com/p/beef-loin-boneless-new-york-steak/0020221900000
Kroger® 100% Pure Beef Quarter Pound Burgers,Kroger,8 ct / 32 oz,,,,,,,https://www.kroger.com/p/kroger®-100%-pure-beef-quarter-pound-burgers/0001111000915
WD Brand 73% Lean Ground Beef,WD Brand,1 lb,,,,,,,https://www.kroger.com/p/wd-brand-73%-lean-ground-beef/0020165300000
Private Selection™ Ground Beef 80% Lean,Private Selection,1 lb,,,,,,,https://www.kroger.com/p/private-selection™-ground-beef-80%-lean/0029130540000
Private Selection™ Angus Beef Top Sirloin Steak,Private Selection,1 lb,,,,,,,https://www.kroger.com/p/private-selection™-angus-beef-top-sirloin-steak/0021218240000
Bush's Best Brown Sugar Hickory Baked Beans,Bush's Best,28 oz,,,,,,,https://www.kroger.com/p/bush's-best-brown-sugar-hickory-baked-beans/0003940001977
RiceSelect Original Couscous,RiceSelect,26.5 oz,,,,,,,https://www.kroger.com/p/riceselect-original-couscous/0007440170432
DeLallo Orzo No 65,DeLallo,16 oz,,,,,,,https://www.kroger.com/p/delallo-orzo-no-65/0007236851018
Marukan Seasoned Gourmet Rice Vinegar,Marukan,12 fl oz,,,,,,,https://www.kroger.com/p/marukan-seasoned-gourmet-rice-vinegar/0007064100009
Marie Callender's Aged Cheddar Cheesy Chicken & Rice Bowl,Marie Callender's,12 oz,,,,,,,https://www.kroger.com/p/marie-callender's-aged-cheddar-cheesy-chicken-&-rice-bowl/0002113150662
RiceSelect Jasmati White Rice,RiceSelect,32 oz,,,,,,,https://www.kroger.com/p/riceselect-jasmati-white-rice/0007440161041
Del Monte Cream Style Sweet Corn - No Salt Added,Del Monte,14.75 oz,,,,,,,https://www.kroger.com/p/del-monte-cream-style-sweet-corn---no-salt-added/0002400016300
Del Monte Whole Kernel Sweet Fiesta Corn,Del Monte,15.25 oz,,,,,,,https://www.kroger.com/p/del-monte-whole-kernel-sweet-fiesta-corn/0002400002770
Gold Medal™ All Purpose Flour,Gold Medal,10 lb,,,,,,,https://www.kroger.com/p/gold-medal™-all-purpose-flour/0001600010410
