description,Protein,"Carbohydrate, by summation","Carbohydrate, by difference",Total lipid (fat)
"Hummus, commercial",7.35 g,13.9 g,14.9 g,17.1 g
"Tomatoes, grape, raw",0.83 g,,5.51 g,0.63 g
"Beans, snap, green, canned, regular pack, drained solids",1.04 g,,4.11 g,0.39 g
"Frankfurter, beef, unheated",11.7 g,,2.89 g,28.0 g
"Nuts, almonds, dry roasted, with salt added",20.4 g,,16.2 g,57.8 g
"Kale, raw",2.92 g,,4.42 g,1.49 g
"Egg, whole, raw, frozen, pasteurized",12.3 g,,0.91 g,10.3 g
"Egg, white, raw, frozen, pasteurized",10.1 g,,0.74 g,0.16 g
"Egg, white, dried",79.9 g,,6.02 g,0.65 g
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",4.52 g,34.0 g,36.3 g,14.4 g
"Pickles, cucumber, dill or kosher dill",0.48 g,,1.99 g,0.43 g
"Cheese, parmesan, grated",29.6 g,,12.4 g,28.0 g
"Cheese, pasteurized process, American, vitamin D fortified",18.0 g,,5.27 g,30.6 g
"Grapefruit juice, white, canned or bottled, unsweetened",0.55 g,,7.59 g,0.7 g
"Peaches, yellow, raw",0.91 g,9.87 g,10.1 g,0.27 g
"Seeds, sunflower seed kernels, dry roasted, with salt added",21.0 g,14.9 g,17.1 g,56.1 g
"Bread, white, commercially prepared",9.43 g,44.8 g,49.2 g,3.59 g
"Kale, frozen, cooked, boiled, drained, without salt",2.94 g,,5.3 g,1.21 g
"Mustard, prepared, yellow",4.25 g,6.39 g,5.3 g,3.38 g
"Kiwifruit, green, raw",1.06 g,12.0 g,14.0 g,0.44 g
"Nectarines, raw",1.06 g,9.42 g,9.18 g,0.28 g
"Cheese, cheddar",23.3 g,,2.44 g,34.0 g
"Cheese, cottage, lowfat, 2% milkfat",11.0 g,,4.31 g,2.3 g
"Cheese, mozzarella, low moisture, part-skim",23.7 g,,4.44 g,20.4 g
"Egg, whole, dried",48.1 g,,1.87 g,39.8 g
"Egg, yolk, raw, frozen, pasteurized",15.6 g,,0.59 g,25.1 g
"Egg, yolk, dried",34.2 g,,1.07 g,55.5 g
"Yogurt, Greek, plain, nonfat",10.3 g,,3.64 g,0.37 g
"Yogurt, Greek, strawberry, nonfat",8.06 g,12.0 g,12.2 g,0.15 g
"Oil, coconut",0.0 g,,0.84 g,99.1 g
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",23.9 g,,0.0 g,5.95 g
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1 g,,0.0 g,3.24 g
"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.41 g,7.31 g,8.05 g,1.48 g
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",16.7 g,,0.27 g,3.73 g
"Olives, green, Manzanilla, stuffed with pimiento",1.15 g,4.32 g,4.96 g,12.9 g
"Cookies, oatmeal, soft, with raisins",5.79 g,67.9 g,69.6 g,14.3 g
"Tomatoes, canned, red, ripe, diced",0.84 g,,3.32 g,0.5 g
"Fish, haddock, raw",16.3 g,,0.0 g,0.45 g
"Fish, pollock, raw",12.3 g,,0.0 g,0.41 g
"Fish, tuna, light, canned in water, drained solids",19.0 g,,0.08 g,0.94 g
"Restaurant, Chinese, fried rice, without meat",3.84 g,,32.5 g,3.19 g
"Restaurant, Latino, tamale, pork",7.38 g,15.4 g,15.8 g,9.04 g
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",5.59 g,30.7 g,31.5 g,9.01 g
"Bread, whole-wheat, commercially prepared",12.3 g,39.2 g,43.1 g,3.55 g
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7 g,,0.0 g,6.36 g
